Date,VNFIN,VNMAT,VNIND,VNHEAL,VNENE,VNCONS,VNCOND,VNUTI,VNIT,VNREAL
2016-06-24,0.943086781,1.185559863,0.976899609,1.222191771,1.246178142,0.992541505,1.208982354,1.005219308,0.903571294,0.934871227
2016-06-27,0.94028355,1.189852956,0.96505542,1.20355072,1.260707848,0.9905355,1.206963085,0.998052344,0.907672915,0.953305312
2016-06-28,0.935663727,1.188701347,0.968322051,1.243378315,1.255721613,1.004532321,1.200385709,0.990276455,0.907585987,0.941980023
2016-06-29,0.938916397,1.192756967,0.970434187,1.260045674,1.271948169,0.9907002,1.212959436,0.999873008,0.913476766,0.937107202
2016-06-30,0.932859885,1.190317303,0.967102158,1.301869463,1.261158364,0.994511704,1.197861604,0.999462199,0.90679469,0.950526635
2016-07-01,0.923941885,1.185397504,0.959847009,1.275480264,1.257270096,0.993331313,1.184850823,0.985428674,0.897313758,0.962220833
2016-07-04,0.928822784,1.186276848,0.962235278,1.267454757,1.247021413,0.991419224,1.182526632,0.972220508,0.899962948,0.954287319
2016-07-05,0.935487356,1.186931523,0.967290484,1.24752641,1.223497388,0.984313514,1.167020081,0.958963219,0.88939591,0.951419632
2016-07-06,0.933113666,1.209435463,0.976241817,1.257075039,1.21657989,0.981261295,1.17763988,0.958088213,0.893973397,0.957811075
2016-07-07,0.919938892,1.225148188,0.973363398,1.307765655,1.218538208,0.982907808,1.190101631,0.945320018,0.898339137,0.952293109
2016-07-08,0.919232388,1.230901245,0.978548005,1.316982424,1.199884681,0.986913235,1.18779986,0.949702434,0.907193173,0.955365336
2016-07-11,0.930748506,1.200150228,0.97154509,1.302256703,1.164550974,0.990172585,1.180158232,0.950740488,0.895946403,0.951660336
2016-07-12,0.927970832,1.200728405,0.965624496,1.288723606,1.177356179,0.986431932,1.167248379,0.941796891,0.887812964,0.95764148
2016-07-13,0.939566314,1.180471649,0.951504918,1.231958718,1.167496164,0.965369105,1.160341865,0.923435819,0.872674443,0.975515508
2016-07-14,0.950546686,1.161319339,0.957656512,1.20756275,1.159879449,0.972640973,1.164154255,0.925407641,0.885118991,0.966491143
2016-07-15,0.955218475,1.160813155,0.959522045,1.181924913,1.149662965,0.978196115,1.158390529,0.944835711,0.879800153,0.982334191
2016-07-18,0.9541351,1.179940609,0.954922064,1.17606536,1.145656986,0.982746845,1.161410572,0.943400148,0.86755752,0.96626582
2016-07-19,0.950985415,1.175152687,0.953426322,1.191850348,1.139586017,0.999460899,1.158380269,0.942329565,0.861072813,0.947960346
2016-07-20,0.942431755,1.169387769,0.960803305,1.208433023,1.123966284,1.029836746,1.134431904,0.940932361,0.86565897,0.928997654
2016-07-21,0.939794079,1.16051365,0.960019407,1.208044587,1.13340508,1.026850857,1.098260972,0.951832225,0.86686781,0.932759162
2016-07-22,0.925646652,1.162678736,0.97002479,1.195285257,1.129041162,1.037746042,1.10148185,0.962515595,0.87303613,0.94180373
2016-07-25,0.927167749,1.169675006,0.969844417,1.212752213,1.113876484,1.030078593,1.084028956,0.963160341,0.870398935,0.947635915
2016-07-26,0.935537091,1.185155421,0.970705686,1.215960674,1.110362396,1.044943583,1.064277892,0.945296661,0.867373817,0.948889085
2016-07-27,0.936961804,1.190273006,0.960296306,1.232933521,1.107908706,1.037234595,1.060249075,0.944643413,0.866059028,0.944323405
2016-07-28,0.937562743,1.207672608,0.960084549,1.231000986,1.101728671,1.045317542,1.05586324,0.932114954,0.864610237,0.961256323
2016-07-29,0.940143843,1.214126971,0.967986752,1.23560714,1.103644484,1.038621346,1.059150945,0.9467059,0.865430963,0.950738235
2016-08-01,0.935670409,1.206915667,0.963786699,1.224359141,1.130309386,1.029704818,1.040099941,0.961488587,0.87047722,0.961241864
2016-08-02,0.932395251,1.199245408,0.963147551,1.219888346,1.1079318,1.025532569,1.031554139,0.972675088,0.877163727,0.973178209
2016-08-03,0.930305156,1.217254369,0.962872627,1.217396799,1.104304873,1.040879657,1.029717722,0.973876284,0.88174663,0.954908899
2016-08-04,0.923473779,1.201997073,0.958413726,1.223043343,1.121119062,1.048628003,1.030635804,0.97278221,0.879165775,0.928015334
2016-08-05,0.927716366,1.217966493,0.962877907,1.220947095,1.120323864,1.063278056,1.037488579,0.979629864,0.887613751,0.894276273
2016-08-08,0.927906462,1.214421831,0.957820911,1.229974812,1.129603084,1.05541259,1.045848805,0.985876768,0.886013412,0.887792715
2016-08-09,0.916433917,1.209401503,0.953870731,1.229657613,1.144585238,1.066495023,1.042693003,0.984137118,0.880158147,0.892239532
2016-08-10,0.911942948,1.221013952,0.94495086,1.224160451,1.151311781,1.060694351,1.052010502,0.976678544,0.869341204,0.919053509
2016-08-11,0.909669195,1.213770768,0.94408097,1.247531189,1.140418668,1.068823459,1.060765783,0.960287213,0.866109352,0.911486731
2016-08-12,0.907626835,1.210352116,0.943694562,1.253602926,1.172164458,1.069192171,1.053865289,0.963398455,0.867624335,0.917036467
2016-08-15,0.907304437,1.2151274,0.942817775,1.265440517,1.193746533,1.068812853,1.065840815,0.966366945,0.862541186,0.915128857
2016-08-16,0.904088981,1.23003755,0.952652322,1.334594541,1.187081175,1.072024465,1.097369757,0.970855935,0.886128442,0.9039826
2016-08-17,0.896852419,1.244159842,0.963301101,1.360191316,1.190110684,1.078212244,1.126084342,0.967600764,0.89308262,0.899002257
2016-08-18,0.890335264,1.247877008,0.97104367,1.326920417,1.177915653,1.099871306,1.109422505,0.956103838,0.890713679,0.8963293
2016-08-19,0.891405392,1.231473067,0.961587246,1.277359926,1.179153764,1.097496447,1.099987871,0.968095052,0.874962167,0.891058122
2016-08-22,0.898248417,1.237425545,0.958764155,1.277779487,1.158238067,1.081240118,1.09495501,0.978150483,0.863170552,0.887407263
2016-08-23,0.892241681,1.247421017,0.964667196,1.277610987,1.136931874,1.093012323,1.102752053,0.961299303,0.864190843,0.906259523
